row_id,variable,shap_value,feature_value
1,Age,-0.26330179939324505,22
1,SibSp,0.061621823397504674,1
1,Parch,0.013214070582952962,0
1,Fare,-0.6067175084334289,7.25
1,Pclass_X2,0.02364481338553681,0
1,Pclass_X3,-0.20991181806529174,1
1,Sex_male,-1.2039346791839713,1
1,Embarked_Q,0.016507914208784762,0
1,Embarked_S,-0.393640064878064,1
1,BIAS,-0.01190503446912048,0
2,Age,-0.09325568053693539,38
2,SibSp,0.10676187349849285,1
2,Parch,0.03147823232953974,0
2,Fare,0.685602046619284,71.2833
2,Pclass_X2,0.022413888997209412,0
2,Pclass_X3,0.8630054478442488,0
2,Sex_male,1.9748480642194302,0
2,Embarked_Q,0.008106307744970065,0
2,Embarked_S,0.14766706476182057,0
2,BIAS,-0.01190503446912048,0
3,Age,0.03006462475573154,35
3,SibSp,0.09713309571619543,1
3,Parch,0.03140022814544624,0
3,Fare,0.8106871328493196,53.1
3,Pclass_X2,0.01937432514091625,0
3,Pclass_X3,1.017061003956646,0
3,Sex_male,1.8822527115187317,0
3,Embarked_Q,0.003948444932831666,0
3,Embarked_S,-0.0740806072603831,1
3,BIAS,-0.01190503446912048,0
4,Age,0.2888376332459137,14
4,SibSp,0.008976765295997554,1
4,Parch,0.03649636002334013,0
4,Fare,0.4238395245871123,30.0708
4,Pclass_X2,-0.09299550564570122,1
4,Pclass_X3,0.7243040926393058,0
4,Sex_male,1.7334239833969962,0
4,Embarked_Q,0.0065077621051526984,0
4,Embarked_S,0.15979121138241148,0
4,BIAS,-0.01190503446912048,0
5,Age,2.1948034883165373,2
5,SibSp,-1.9387136466823263,4
5,Parch,-0.07093671353141806,1
5,Fare,0.2437062212970081,29.125
5,Pclass_X2,0.017351825982856846,0
5,Pclass_X3,-0.20202937404411125,1
5,Sex_male,-0.42761151496663924,1
5,Embarked_Q,-0.008145974036441654,1
5,Embarked_S,0.1494612685279644,0
5,BIAS,-0.01190503446912048,0
6,Age,-0.9792177670249698,27.415930487859754
6,SibSp,0.029870803338602054,0
6,Parch,0.0066099857327202565,0
6,Fare,-0.4862303579543437,7.8958
6,Pclass_X2,0.034392498019016504,0
6,Pclass_X3,-0.21273192715093184,1
6,Sex_male,-1.2986778288042449,1
6,Embarked_Q,0.008194391407825654,0
6,Embarked_S,-0.14427377880464132,1
6,BIAS,-0.01190503446912048,0
7,Age,0.14237009622656446,33.93626199916368
7,SibSp,0.10189105708203801,1
7,Parch,0.03157179984346935,0
7,Fare,0.26753826063271663,146.5208
7,Pclass_X2,0.01956853697222231,0
7,Pclass_X3,0.785581397868898,0
7,Sex_male,1.7714111768165441,0
7,Embarked_Q,0.008106307744970065,0
7,Embarked_S,0.13865641889786828,0
7,BIAS,-0.01190503446912048,0
8,Age,-0.2297437814939842,66
8,SibSp,0.03565835081633205,0
8,Parch,0.007280575304899935,0
8,Fare,0.13894697658122582,10.5
8,Pclass_X2,0.06260163525153159,1
8,Pclass_X3,0.20016808334468725,0
8,Sex_male,-1.290595191421391,1
8,Embarked_Q,0.008194391407825654,0
8,Embarked_S,-0.08856483290824789,1
8,BIAS,-0.01190503446912048,0
9,Age,-0.052879584470627,28.38539933724613
9,SibSp,0.04704281807386175,0
9,Parch,0.009394321798709769,0
9,Fare,0.1547592054261301,7.75
9,Pclass_X2,0.017822326130445213,0
9,Pclass_X3,-0.5850048483574484,1
9,Sex_male,2.097574005857381,0
9,Embarked_Q,-0.021670624503867236,1
9,Embarked_S,0.28301335386021215,0
9,BIAS,-0.01190503446912048,0
10,Age,0.17236467379866136,18
10,SibSp,0.0301156380641647,1
10,Parch,0.029461555855394856,0
10,Fare,-0.18275472211424904,17.8
10,Pclass_X2,0.024692219403005148,0
10,Pclass_X3,-0.8214711331151493,1
10,Sex_male,1.7948363336543762,0
10,Embarked_Q,0.003966892566811624,0
10,Embarked_S,-0.29043297611253993,1
10,BIAS,-0.01190503446912048,0
11,Age,-0.21360611916655756,21
11,SibSp,0.12196451603629184,0
